Unnamed: 0,rep,hv,dataset,exp,num_pts,avg_pred_perf,avg_fair_perf,objective1,objective2
4,4,0.6015277777777779,creditg,Equal Weights,7,0.7564285714285716,0.342063492063492,0,0
5,5,0.5677777777777777,creditg,Equal Weights,4,0.77125,0.4666666666666667,0,0
6,6,0.6045,creditg,Equal Weights,5,0.7469999999999999,0.2899999999999999,0,0
7,7,0.6464772727272727,creditg,Equal Weights,10,0.8455,0.2931818181818182,0,0
8,8,0.6201111111111111,creditg,Equal Weights,7,0.8207142857142857,0.3515873015873016,0,0
9,9,0.6675,creditg,Equal Weights,4,0.8287499999999999,0.2272727272727273,0,0
10,10,0.5333333333333333,creditg,Equal Weights,1,0.8,0.3333333333333333,0,0
11,11,0.5226666666666667,creditg,Equal Weights,3,0.7766666666666667,0.4444444444444445,0,0
12,12,0.5853333333333334,creditg,Equal Weights,2,0.7575000000000001,0.2888888888888889,0,0
13,13,0.5554347826086956,creditg,Equal Weights,4,0.75875,0.3532608695652174,0,0
14,14,0.5938221153846155,creditg,Equal Weights,3,0.7533333333333333,0.2644230769230769,0,0
15,15,0.6488682745825602,creditg,Equal Weights,10,0.7965,0.2659696605915093,0,0
16,16,0.6522636949516648,creditg,Equal Weights,4,0.8049999999999999,0.3010204081632653,0,0
17,17,0.5704166666666667,creditg,Equal Weights,6,0.7908333333333332,0.4260912698412698,0,0
18,18,0.6172777777777778,creditg,Equal Weights,7,0.765,0.3031746031746031,0,0
19,19,0.6457894736842105,creditg,Equal Weights,3,0.805,0.2456140350877192,0,0
20,0,0.615909090909091,creditg,Deterministic Weights,6,0.7783333333333333,0.2643398268398269,0,0
21,1,0.6155311355311356,creditg,Deterministic Weights,4,0.7825000000000001,0.2838827838827839,0,0
22,2,0.5754999999999999,creditg,Deterministic Weights,9,0.7644444444444445,0.7583333333333333,0,0
23,3,0.5611904761904762,creditg,Deterministic Weights,10,0.782,0.4285714285714285,0,0
24,4,0.6062418300653596,creditg,Deterministic Weights,3,0.7583333333333333,0.2848583877995642,0,0
25,5,0.5711111111111111,creditg,Deterministic Weights,4,0.77375,0.4722222222222222,0,0
26,6,0.6029642857142857,creditg,Deterministic Weights,4,0.7337499999999999,0.2160714285714285,0,0
27,7,0.6757523510971786,creditg,Deterministic Weights,8,0.8487499999999999,0.2804336468129572,0,0
28,8,0.620584693084693,creditg,Deterministic Weights,8,0.8162499999999999,0.3815802253302253,0,0
29,9,0.6936267082590613,creditg,Deterministic Weights,6,0.8158333333333333,0.2066003168944345,0,0
30,10,0.58359477124183,creditg,Deterministic Weights,3,0.7883333333333334,0.2952069716775599,0,0
31,11,0.5225,creditg,Deterministic Weights,3,0.7816666666666667,0.4444444444444445,0,0
32,12,0.5983333333333333,creditg,Deterministic Weights,4,0.765,0.3055555555555556,0,0
33,13,0.5780434782608695,creditg,Deterministic Weights,6,0.7641666666666667,0.5072463768115942,0,0
34,14,0.5876602564102564,creditg,Deterministic Weights,5,0.752,0.3474358974358974,0,0
35,15,0.6461721052057187,creditg,Deterministic Weights,7,0.7900000000000001,0.2314463447716749,0,0
36,16,0.6426315789473684,creditg,Deterministic Weights,4,0.80125,0.2894736842105263,0,0
37,17,0.614107142857143,creditg,Deterministic Weights,8,0.796875,0.6398809523809523,0,0
38,18,0.6193636363636364,creditg,Deterministic Weights,4,0.7675,0.2318181818181818,0,0
39,19,0.632423976608187,creditg,Deterministic Weights,5,0.8010000000000002,0.2644444444444445,0,0
40,0,0.6859074062729723,creditg,Evolved Weights,8,0.760625,0.2026387527566772,0,0
41,1,0.690891611533121,creditg,Evolved Weights,16,0.7665625,0.2597586375888263,0,0
42,2,0.6706607142857144,creditg,Evolved Weights,6,0.7416666666666667,0.2988095238095238,0,0
43,3,0.7699446240034475,creditg,Evolved Weights,68,0.7026470588235294,0.0319172465366237,0,0
44,4,0.7149393687707641,creditg,Evolved Weights,10,0.7434999999999999,0.1838150609080841,0,0
45,5,0.6390833333333333,creditg,Evolved Weights,8,0.764375,0.3201388888888888,0,0
46,6,0.6956086626139817,creditg,Evolved Weights,9,0.716111111111111,0.148176291793313,0,0
47,7,0.7571969696969696,creditg,Evolved Weights,15,0.8113333333333334,0.1986111111111111,0,0
48,8,0.7235154640045944,creditg,Evolved Weights,9,0.7872222222222223,0.2463627354931702,0,0
49,9,0.8084090909090909,creditg,Evolved Weights,7,0.7878571428571428,0.0909090909090909,0,0
